@relation LinuxForum-weka.filters.unsupervised.attribute.Remove-R1

@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric
@attribute Feature15 numeric
@attribute Feature16 numeric
@attribute Feature17 numeric
@attribute Feature18 numeric
@attribute Feature19 numeric
@attribute Feature20 numeric
@attribute Feature21 numeric
@attribute Feature22 numeric
@attribute Feature23 numeric
@attribute Feature24 numeric
@attribute Feature25 numeric
@attribute Feature26 numeric
@attribute Feature27 numeric
@attribute Feature28 numeric
@attribute Feature29 numeric
@attribute Feature30 numeric
@attribute Feature31 numeric
@attribute Feature32 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature35 numeric
@attribute Feature36 numeric
@attribute Feature37 numeric
@attribute Feature38 numeric
@attribute Feature39 numeric
@attribute Feature40 numeric
@attribute Feature41 numeric
@attribute Feature42 numeric
@attribute Feature43 numeric
@attribute Feature44 numeric
@attribute Feature45 numeric
@attribute Feature46 numeric
@attribute Feature47 numeric
@attribute Feature48 numeric
@attribute Feature49 numeric
@attribute Feature50 numeric
@attribute Feature51 numeric
@attribute Feature52 numeric
@attribute Feature53 numeric
@attribute Feature54 numeric
@attribute Feature55 numeric
@attribute Feature56 numeric
@attribute Feature57 numeric
@attribute Feature58 numeric
@attribute Feature59 numeric
@attribute Feature60 numeric
@attribute Feature61 numeric
@attribute Feature62 numeric
@attribute Feature63 numeric
@attribute Feature64 numeric
@attribute Feature65 numeric
@attribute Feature66 numeric
@attribute Feature67 numeric
@attribute Feature68 numeric
@attribute Feature69 numeric
@attribute Feature70 numeric
@attribute Feature71 numeric
@attribute Feature72 numeric
@attribute class {Install-OS,Install-Software,Search-Data,Search-Documentation,Search-Hardware,Search-OS,Search-Software,Spam,Support-Document.,Support-Hardware,Support-Media,Support-OS,Support-Programming,Support-Software}

@data
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0.333935,0.149819,0.516245,0,0.28972,0.214953,0.495327,0,0,0.043478,0,0,0,0,0,0,0.193548,0.217391,0.150943,0,0.806452,0.73913,0.849057,0,0.785714,0.884615,0.855856,0,5.967742,3.608696,5.396226,0,5.789189,5.903614,5.185315,0,0,0.478261,0,0,0.333333,0.666667,1,0,0.333333,0.666667,1,0,Install-Software
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0.266442,0.418212,0.315346,0,0.254902,0.421569,0.323529,0,0,0,0,0,0,0,0,0,0.076923,0.093023,0.121212,0,0.923077,0.906977,0.878788,0,0.758621,0.849462,0.909091,0,6.076923,5.767442,5.666667,0,5.639241,5.024194,5.721925,0,0,0,0,0,0.333333,0.666667,1,0,0.333333,0.666667,1,0,Support-Software
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.420814,0.579186,0,0,0.432432,0.567568,0,0,0.125,0.095238,0,0,0,0,0,0,0.25,0.238095,0,0,0.625,0.666667,0,0,0.725,0.74,0,0,5.8125,6.095238,0,0,5.473118,5.164062,0,0,0.375,0.428571,0,0,0.5,1,0,0,0.5,1,0,0,Search-Documentation
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.163062,0.836938,0,0,0.134615,0.865385,0,0,0,0.033333,0,0,0,0,0,0,0.357143,0.144444,0,0,0.642857,0.822222,0,0,0.772727,0.859223,0,0,7,5.588889,0,0,5.163265,6.932406,0,0,0,0.033333,0,0,0.5,1,0,0,0.5,1,0,0,Install-Software
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.275281,0.418539,0.117978,0.188202,0.349515,0.427184,0.106796,0.116505,0.027778,0.022727,0,0,0.027778,0.022727,0,0,0.138889,0.136364,0.272727,0.166667,0.805556,0.818182,0.727273,0.833333,0.864865,0.942529,0.814815,0.84375,2.722222,3.386364,3.818182,5.583333,7.387755,6.026846,6.214286,4.820896,0.166667,0.272727,0,0,0.25,0.5,0.75,1,0.25,0.5,0.75,1,Install-OS
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0,0.6,0.6,0,0,1,1,0,0,6.8,6.8,0,0,20.705882,20.794118,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,Spam
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.3125,0.6875,0,0,0.259259,0.740741,0,0,0.142857,0.1,0,0,0.142857,0.05,0,0,0,0.1,0,0,0.714286,0.75,0,0,0.666667,0.769231,0,0,3.571429,2.75,0,0,6.28,7.727273,0,0,0.285714,0.5,0,0,0.5,1,0,0,0.5,1,0,0,Support-Software
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.92029,0.07971,0,0,0.851852,0.148148,0,0,0,0,0,0,0.043478,0,0,0,0.217391,0.25,0,0,0.73913,0.75,0,0,0.75,0.75,0,0,5.521739,2.75,0,0,5.417323,6.727273,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0,Support-Software
1,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.285714,0.052478,0.51312,0.148688,0.407407,0.037037,0.37037,0.185185,0.181818,0,0,0.2,0,0,0,0.2,0.727273,1,0.9,0.2,0.090909,0,0.1,0.4,0.555556,0,0.166667,0.923077,8.909091,18,17.6,10.2,3.632653,3.888889,4.380682,3.941176,0.545455,0,0,1,0.2,0.4,0.8,0.6,0.2,0.4,1,0.6,Install-OS
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.179487,0.410256,0.410256,0,0.076923,0.538462,0.384615,0,1,0,0.2,0,0,0,0,0,0,0.428571,0.4,0,0,0.571429,0.4,0,0,0.818182,0.333333,0,14,4.571429,6.4,0,4,5.53125,5.5625,0,1,0,0.8,0,0.333333,0.666667,1,0,0.333333,0.666667,1,0,Support-Media
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.36,0.331429,0.308571,0,0.363636,0.272727,0.363636,0,0.25,0.333333,0.5,0,0,0,0,0,0.75,0.666667,0.5,0,0,0,0,0,0.5,0,0.333333,0,15.75,19.333333,13.5,0,3.904762,4.275862,4.203704,0,0.75,0.666667,0.5,0,0.333333,0.666667,1,0,0.333333,0.666667,1,0,Install-OS
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.468468,0.063063,0.261261,0.207207,0.461538,0.230769,0.153846,0.153846,0,0,0,0,0,0,0,0,0.5,0.333333,1,0.5,0.5,0.666667,0,0.5,0.571429,0.666667,0,0,8.666667,2.333333,14.5,11.5,4.730769,7.428571,4.827586,4.304348,0,0,0,0,0.25,0.5,1,0.75,0.25,0.5,1,0.75,Search-Software
